web-scraper-order,web-scraper-start-url,province,type,pst,gst,hst
1710691112-1,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Alberta,GST,,0.0500,
1710691112-2,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,British Columbia,GST + PST,0.0700,0.0500,
1710691112-3,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Manitoba,GST + PST,0.0700,0.0500,
1710691112-4,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,New Brunswick,HST,,,0.1500
1710691112-5,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Newfoundland and Labrador,HST,,,0.1500
1710691112-6,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Northwest Territories,GST,,0.0500,
1710691112-7,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Nova Scotia,HST,,,0.1500
1710691112-8,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Nunavut,GST,,0.0500,
1710691112-9,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Ontario,HST,,,0.1300
1710691112-10,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Prince Edward Island,HST,,,0.1500
1710691112-11,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Quebec,GST + *QST,0.0998,0.0500,
1710691112-12,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Saskatchewan,GST + PST,0.0600,0.0500,
1710691112-13,https://www.retailcouncil.org/resources/quick-facts/sales-tax-rates-by-province/,Yukon,GST,,0.0500,
